"Publication Year","Author","Title","Subgenre","Page Count",,"Total Authors:",300
1991,"Nancy Kress","Brain Rose","Medical/Biological Hard SF",288,,,
1991,"Robert L. Forward","Martian Rainbow","Mars Colonization / Physics",320,,,
1991,"Stanisław Lem","Fiasco","Astrobiology / First Contact",352,,,
1991,"Victor Pelevin","Omon Ra","Near-Future / Space Industry",160,,,
1991,"W. Michael Gear","The Artifact","Xenobiology / Cybernetics",432,,,
1992,"A.J. Austin, Ben Bova","To Save the Sun","Solar Physics / Astrophysics",448,,,
1992,"Alexander Jablokov","A Geography of Unknown Lands","Theoretical Physics",304,,,
1992,"Allen Steele","Labyrinth of Night","Planetary Science / Mars Engineering",352,,,
1992,"Ben Bova","The Trikon Deception","Orbital Mechanics / Near-Future",350,,,
1992,"C.J. Cherryh","Hellburner","Space Industry / Space Colonization",384,,,
1992,"Charles Sheffield","Divergence","Astrophysics / Megastructures",304,,,
1992,"Charles Sheffield","Brother to Dragons","Materials Science / Economics (Hard)",320,,,
1992,"Isaac Asimov, Robert Silverberg","The Ugly Little Boy","Hard Time Travel / Medical SF",304,,,
1992,"L.E. Modesitt Jr.","Timediver's Dawn","Temporal Mechanics / Physics",448,,,
1992,"Pat Cadigan","Fools","Neurobiology / Memory Management",304,,,
1992,"Robert L. Forward","Timemaster","General Relativity / Time Dilation",352,,,
1992,"S.N. Lewitt","Blind Justice","Cybernetics / Information Theory",256,,,
1992,"S.N. Lewitt","Blind Justice","Cybernetics / Information Theory",256,,,
1992,"Stephen Baxter","Raft","Physics / Relativistic SF",250,,,
1992,"V.E. Mitchell","Windows on a Lost World","Planetary Science / Physics",304,,,
1992,"W. Michael Gear","The Forbidden Borders: Requiem for the Conqueror","Gravity Physics / Astrophysics",400,,,
1993,"Alexander Jablokov","Nimbus","Cybernetics / Information Theory",416,,,
1993,"Allen Steele","Orbital Decay","Space Industry",336,,,
1993,"Arthur C. Clarke, Gentry Lee","Rama Revealed","Megastructures / Xenobiology",608,,,
1993,"Ben Bova","Triumph","Alternate History / Nuclear Physics",350,,,
1993,"Ben Bova","Empire Builders","Economic Hard SF / Space Industry",384,,,
1993,"Ben Bova","Mars","Bantam Spectra MMPB / Planetary Science",607,,,
1993,"Charles Sheffield","Transcendence","Del Rey MMPB / Megastructures",320,,,
1993,"Charles Sheffield","Godspeed","Physics SF / Faster-than-Light Research",352,,,
1993,"Charles Sheffield","Cold as Ice","Del Rey MMPB / Planetary Science",384,,,
1993,"Charles Sheffield","The Mind Pool","Xenobiology / Relativistic SF",384,,,
1993,"David Weber","On Basilisk Station","Hard Military SF",464,,,
1993,"Greg Bear","Anvil of Stars","Warner MMPB / Relativistic SF",448,,,
1993,"Isaac Asimov, Robert Silverberg","The Positronic Man","Robotic/AI Hard SF",256,,,
1993,"Kim Stanley Robinson","Red Mars","Bantam Spectra MMPB / Terraforming",640,,,
1993,"Neal Stephenson","Snow Crash","Bantam Spectra MMPB / Information Theory",480,,,
1993,"Paul McAuley","Red Dust","Nanotechnology / Terraforming",320,,,
1993,"Paul McAuley","Eternal Light","Avon MMPB / Quantum Physics",416,,,
1993,"Peter F. Hamilton","Mindstar Rising","Pan MMPB / Near-Future Extrapolation",512,,,
1993,"Robert J. Sawyer","Fossil Hunter","Paleontology / Biology",300,,,
1993,"Robert J. Sawyer","Far-Seer","Ace MMPB / Paleontology",320,,,
1993,"Robert L. Forward","Return to Rocheworld","Orbital Mechanics / Fluid Dynamics",304,,,
1993,"Robert L. Forward","Camelot 30K","Cryogenic Biology / Chemistry",320,,,
1993,"Robert L. Forward","Marooned on Eden","Exobiology / Planetary Science",320,,,
1993,"Stephen Baxter","Anti-Ice","Materials Science / Alternate History",304,,,
1993,"Stephen Baxter","Flux","Neutron Star Physics / Biology",304,,,
1993,"Stephen Baxter","Timelike Infinity","Roc MMPB / Physics",304,,,
1993,"Vernor Vinge","A Fire Upon the Deep","Tor MMPB / Singularity",613,,,
1993,"W. Michael Gear","The Forbidden Borders: Relic of Empire","Gravity Physics / Military Logistics",416,,,
1993,"W. Michael Gear","Relic of Empire","Gravity Physics / Military Logistics",416,,,
1994,"A.J. Austin, Ben Bova","To Fear the Light","Astrophysics / Xenobiology",384,,,
1994,"Allen Steele","Rude Astronauts (Collection)","Aerospace Engineering",300,,,
1994,"Bruce Sterling","Heavy Weather","Meteorology / Chaos Theory",320,,,
1994,"C.J. Cherryh","Tripoint","Space Industry / Relativistic SF",320,,,
1994,"David Brin","Glory Season","Bantam Spectra MMPB / Biological Hard SF",772,,,
1994,"David Weber","The Honor of the Queen","Hard Military SF",464,,,
1994,"Dr. John Cramer","Einstein's Bridge","Quantum Physics / Particle Accelerators",448,,,
1994,"Greg Bear","Moving Mars","Tor MMPB / Planetary Science / Physics",608,,,
1994,"Jack McDevitt","The Engines of God","Exopaleontology / Geophysics",412,,,
1994,"Jeffrey A. Carver","Neptune Crossing","Planetary Science / Chaos Theory",384,,,
1994,"John Barnes","Mother of Storms","Climatology / Hydrodynamics",432,,,
1994,"Kathleen Ann Goonan","Queen City Jazz","Nanotechnology / Biology",400,,,
1994,"L.E. Modesitt Jr.","The Ghost of the Revelator","Quantum Mechanics / Information Theory",432,,,
1994,"Lois McMaster Bujold","Mirror Dance","Cryonics / Medical Hard SF",544,,,
1994,"Michael Flynn","In the Country of the Blind","Tor MMPB / Information Theory",532,,,
1994,"Michael Resnick","A Miracle of Rare Design","Xenobiology / Bio-engineering",288,,,
1994,"Mike Resnick","A Miracle of Rare Design","Xenobiology / Bio-engineering",288,,,
1994,"Nancy Kress","Beggars and Choosers","Genetic Engineering / Biopunk",416,,,
1994,"Nancy Kress","Beggars in Spain","AvoNova MMPB / Genetic Engineering",448,,,
1994,"Paul Preuss","Core","Geophysics / Materials Science",320,,,
1994,"Paul Preuss","Core","Geophysics / Materials Science",380,,,
1994,"Robert Charles Wilson","Mysterium","Quantum Physics SF",320,,,
1994,"Robert J. Sawyer","Foreigner","Xenobiology / First Contact",300,,,
1994,"Robert J. Sawyer","End of an Era","Paleontology / Time Travel (Hard)",336,,,
1994,"Robert L. Forward","Ocean Under the Ice","Exobiology / Marine Biology",320,,,
1994,"Robert L. Forward","Indistinguishable from Magic","Physics / Aerospace Engineering",352,,,
1994,"Robert L. Forward","Indistinguishable from Magic","Physics / Aerospace Engineering",384,,,
1994,"Stephen Baxter","Ring","Cosmology / Megastructures",400,,,
1994,"Stephen Bury (Neal Stephenson)","Interface","Neuroscience / Information Theory",640,,,
1994,"Stephen Bury (Neal Stephenson)","Interface","Neuroscience / Information Theory",640,,,
1994,"Suzette Haden Elgin","Earthsong","Linguistic Social Engineering",256,,,
1994,"W. Michael Gear","The Forbidden Borders: Countermeasures","Physics / Aerospace Engineering",432,,,
1994,"W. Michael Gear","Countermeasures","Physics / Aerospace Engineering",432,,,
1995,"Alastair Reynolds","The Big-V (Early Variant)","Relativistic SF / Astrophysics",210,,,
1995,"Alexander Besher","RIM: A Novel of Virtual Reality","Harper Prism MMPB / Cyberpunk",448,,,
1995,"Allen Steele","The Tranquillity Alternative","Aerospace Engineering / Lunar Geology",320,,,
1995,"Andreas Eschbach","The Carpet Makers","Xenobiology / Sociology (Hard)",320,,,
1995,"Arthur C. Clarke, Gentry Lee","Rama Revealed","Bantam Spectra MMPB / Megastructures",608,,,
1995,"Ben Bova","Death Dream","Iron Gate MMPB / Cybernetics",350,,,
1995,"Ben Bova","Brothers","Biological Hard SF / Genetic Engineering",448,,,
1995,"Brian Stableford","The Hunger and Ecstasy of Vampires","Evolutionary Sociology/Biological Realism",192,,,
1995,"Catherine Asaro","Primary Inversion","Hard Space Opera",384,,,
1995,"Catherine Asaro","Primary Inversion","Mathematical Physics/Sociology",416,,,
1995,"Charles Sheffield","Proteus in the Underworld","Biological Hard SF / Nanotech",304,,,
1995,"Elizabeth Moon","Once a Hero","Hard Military SF",416,,,
1995,"George Zebrowski, Charles Pellegrino","The Killing Star","Relativistic Ballistics / Astrophysics",320,,,
1995,"Greg Bear","Legacy","Planetary Science / Xenobiology",384,,,
1995,"Greg Egan","Quarantine","Harper Prism MMPB / Quantum Physics",280,,,
1995,"Greg Egan","Luminous","Quantum Physics SF",304,,,
1995,"Greg Egan","Distress","Theoretical Physics / Sociology",340,,,
1995,"Greg Egan","Axiomatic","Orion MMPB / Biological Hard SF",384,,,
1995,"Hōsuke Nojiri","Rocket Girls","Orbital Mechanics / Space Industry",300,,,
1995,"James P. Hogan","The Immortality Option","Robotic Hard SF / AI Hardware",300,,,
1995,"Jeffrey A. Carver","Strange Attractors","Theoretical Physics / Mathematics",368,,,
1995,"Ken MacLeod","The Star Fraction","Cyberpunk (Hard Variant)",352,,,
1995,"Kim Stanley Robinson","Green Mars","Bantam Spectra MMPB / Terraforming",784,,,
1995,"Linda Nagata","Tech-Heaven","Cryogenics / Nanotechnology",320,,,
1995,"Linda Nagata","The Bohr Maker","Nanotechnology / Molecular Biology",320,,,
1995,"Lois McMaster Bujold","Cetaganda","Genetic Engineering / Biopunk",304,,,
1995,"Melissa Scott","Trouble and Her Friends","Information Theory / Cybersecurity",328,,,
1995,"Michael Crichton","The Lost World","Genetic Engineering / Biopunk",416,,,
1995,"Neal Stephenson","The Diamond Age","Nanotechnology / Post-Scarcity",499,,,
1995,"Paul McAuley","Fairyland","Biopunk / Nanotechnology",420,,,
1995,"Paul Preuss","Secret Passages","Physics / Archaeology",352,,,
1995,"Paul Preuss","Secret Passages","Physics / Archaeology",352,,,
1995,"Peter F. Hamilton","A Quantum Murder","Pan MMPB / Quantum Physics",384,,,
1995,"Peter F. Hamilton","The Nano Flower","Nanotechnology SF",608,,,
1995,"Poul Anderson","The Stars Are Also Fire","Relativistic SF / Physics",432,,,
1995,"Poul Anderson","The Stars Are Also Fire","Relativistic SF / Physics",576,,,
1995,"Robert J. Sawyer","The Terminal Experiment","Neurobiology / Physics",350,,,
1995,"Stephen Baxter","The Time Ships","Quantum Physics / Time Travel",600,,,
1996,"Arthur C. Clarke","The Ghost from the Grand Banks","Information Theory / Marine Engineering",320,,,
1996,"Arthur C. Clarke, Gentry Lee","The Garden of Rama","Xenobiology / Generation Ships",608,,,
1996,"Ben Bova","Moonrise","Lunar Colonization / Economics (Hard)",496,,,
1996,"Charles Sheffield","Higher Education","Space Industry / Asteroid Mining",352,,,
1996,"Charles Sheffield","Tomorrow and Tomorrow","Cosmology / Deep Time",384,,,
1996,"Charles Sheffield","The Ganymede Club","Tor MMPB / Planetary Science",416,,,
1996,"David Weber","Honor Among Enemies","Hard Military SF",544,,,
1996,"Dr. Catherine Asaro","Primary Inversion","Mathematical Physics / Relativistic SF",416,,,
1996,"Greg Egan","Permutation City","Riverhead MMPB / Brain Uploading",352,,,
1996,"Hōsuke Nojiri","Rocket Girls: The Last Planet","Orbital Mechanics / Space Industry",310,,,
1996,"Jeff Noon","Vurt","Neurobiology / Synthetic Genetics",352,,,
1996,"Kay Kenyon","The Seeds of Time","Genetics / Climatology",368,,,
1996,"Ken MacLeod","The Stone Canal","Brain Uploading / Digital Consciousness",352,,,
1996,"Kim Stanley Robinson","Blue Mars","Terraforming",800,,,
1996,"L.E. Modesitt Jr.","The Parafaith War","Sociobiology / Psychology",416,,,
1996,"Lois McMaster Bujold","Memory","Medical/Biological Hard SF",462,,,
1996,"Mary Doria Russell","The Sparrow","Biological Anthropology/Linguistics",408,,,
1996,"Michael Crichton","Airframe","Near-Future Extrapolation",432,,,
1996,"Michael Flynn","Firestar","Aerospace Engineering / Economics",528,,,
1996,"Nancy Kress","Oaths and Miracles","Biopunk / Medical SF",384,,,
1996,"Peter F. Hamilton","The Reality Dysfunction","Hard Space Opera / Megastructures",1220,,,
1996,"Robert J. Sawyer","Starplex","Cosmology / Dark Matter",350,,,
1996,"Stephen Baxter","Vacuum Diagrams","Megastructures",528,,,
1996,"Stephen Baxter","Voyage","Hard Alternate History / NASA Engineering",600,,,
1996,"Stephen Bury (Neal Stephenson)","The Cobweb","Information Theory / Virology",496,,,
1996,"Stephen Bury (Neal Stephenson)","The Cobweb","Information Theory / Virology",496,,,
1997,"Allen Steele","The Sky So Big and Black","Planetary Science / Geophysics",320,,,
1997,"Arthur C. Clarke","3001: The Final Odyssey","Solar System Exploration / AI",288,,,
1997,"C.J. Cherryh","Finity's End","Generation Ships / Interstellar Travel",576,,,
1997,"Charles Sheffield","Putting Up Roots","Exobiology / Colonization",320,,,
1997,"Charles Sheffield","The Billion Dollar Boy","Space Industry / Asteroid Mining",320,,,
1997,"Charles Sheffield","Convergence","Relativistic SF / First Contact",336,,,
1997,"David Drake","With the Lightnings","Hard Military SF",416,,,
1997,"Gentry Lee","Bright Messengers","Astrophysics / Engineering",448,,,
1997,"Greg Bear","Slant","Nanotechnology / Neurobiology",512,,,
1997,"Greg Egan","Distress","Millennium MMPB / Theoretical Physics",352,,,
1997,"Greg Egan","Diaspora","Digital Physics / Cosmology",463,,,
1997,"James White","Final Diagnosis","Exobiology / Medicine",304,,,
1997,"Jeffrey A. Carver","Eternity's End","Astrophysics / Physics",576,,,
1997,"Kathleen Ann Goonan","Mississippi Blues","Nanotechnology / Physics",352,,,
1997,"L.E. Modesitt Jr.","The Ecolitan Enigma","Ecology / Economic Science",352,,,
1997,"Linda Nagata","Deception Well","Megastructures / Planetary Science",350,,,
1997,"Michael Flynn","The Nanotech Chronicles","Nanotechnology SF",339,,,
1997,"Michael Flynn","Firestar","Aerospace Engineering / Economics",896,,,
1997,"Paul McAuley","Child of the River","Xenobiology / Post-Human",352,,,
1997,"Peter F. Hamilton","The Neutronium Alchemist","Hard Space Opera / Relativistic SF",1273,,,
1997,"Robert J. Sawyer","Illegal Alien","Xenobiology / First Contact",300,,,
1997,"Robert J. Sawyer","Frameshift","Genetic Engineering / Biology",350,,,
1997,"Stephen Baxter","Titan","Planetary Science / Orbital Mechanics",600,,,
1998,"Alexander Besher","Mir","Information Theory / Virtual Reality",352,,,
1998,"Andreas Eschbach","The Jesus Video","Near-Future / Archaeological SF",600,,,
1998,"Ben Bova","Moonwar","Lunar Colonization / Nanotechnology",384,,,
1998,"Charles Sheffield","Convergent Series","Megastructures / Physics SF",304,,,
1998,"Charles Sheffield","The Cyborg from Earth","Cybernetics / Space Industry",320,,,
1998,"Charles Sheffield","Aftermath","Astrophysics / Alpha Centauri",400,,,
1998,"George Zebrowski","Brute Orbits","Orbital Mechanics / Geophysics",320,,,
1998,"Greg Bear","Dinosaur Summer","Paleontology / Hard Science",336,,,
1998,"Greg Bear","Foundation and Chaos","Psychohistory (Hard variant) / AI",416,,,
1998,"Ian Douglas","Semper Mars","Hard Military SF / Space Colonization",448,,,
1998,"Ian Stewart, Jack Cohen","Figments of Reality","Cambridge/Orbit MMPB / Theoretical Biology",336,,,
1998,"James White","Mind-Changer","Exobiology / Medicine",304,,,
1998,"John Varley","The Golden Globe","Planetary Romance (Hard Variant)",528,,,
1998,"Kay Kenyon","Leap Point","Quantum Physics / Aerospace Engineering",352,,,
1998,"Ken MacLeod","The Cassini Division","Megastructures / Dyson Spheres",336,,,
1998,"Linda Nagata","Vast","Nanotechnology / Information Theory",400,,,
1998,"Mary Doria Russell","Children of God","Biological Anthropology/Linguistics",448,,,
1998,"Michael Flynn","Rogue Star","Aerospace Engineering / Physics",416,,,
1998,"Michael Flynn","Rogue Star","Aerospace Engineering / Physics",416,,,
1998,"Nancy Kress","Starlight","Interstellar Travel / Xenobiology",336,,,
1998,"Poul Anderson","Starfarers","Relativistic SF / Time Dilation",384,,,
1998,"Poul Anderson","Starfarers","Relativistic SF / Time Dilation",384,,,
1998,"Robert Charles Wilson","Darwinia","Hard Alternate History",384,,,
1998,"Robert J. Sawyer","Factoring Humanity","Quantum Computing / Neurobiology",350,,,
1998,"Stephen Baxter","Traces","Astrophysics / Physics SF",300,,,
1998,"Stephen Baxter","Moonseed","Geology / Planetary Science",600,,,
1998,"Tricia Sullivan","Dreaming in Smoke","AI / Environmental Engineering",352,,,
1999,"Alexander Jablokov","Deepdrive","Physics / Propulsion Systems",304,,,
1999,"Ben Bova","Return to Mars","Planetary Science / Geophysics",448,,,
1999,"Catherine Asaro","The Radiant Seas","Mathematical Physics/Sociology",448,,,
1999,"Charles Sheffield","Starfire","Astrophysics / Solar Science",416,,,
1999,"David Weber","The Short Victorious War","Hard Military SF",416,,,
1999,"George Zebrowski","Cave of Stars","Planetary Science / Ecology",320,,,
1999,"Greg Bear","Darwin's Radio","Biological Hard SF / Evolution",544,,,
1999,"Greg Egan","Teranesia","Evolutionary Biology / Genetics",250,,,
1999,"James White","Double Contact","Astrobiology / First Contact",288,,,
1999,"Ken MacLeod","The Sky Road","Near-Future Extrapolation",304,,,
1999,"Michael Crichton","Timeline","Quantum Physics / Hard Time Travel",496,,,
1999,"Neal Stephenson","Cryptonomicon","Cryptography / Information Theory",928,,,
1999,"Peter F. Hamilton","The Naked God","Hard Space Opera / Megastructures",1256,,,
1999,"Robert J. Sawyer","Golden Fleece","Tor MMPB / AI / Information Theory",250,,,
1999,"Robert J. Sawyer","Flashforward","Quantum Physics / Neuroscience",320,,,
1999,"Robert L. Forward","Saturn Rukh","Tor MMPB / Atmospheric Physics",336,,,
1999,"Robert L. Forward","Saturn Rukh","Planetary Science / Physics",336,,,
1999,"Vernor Vinge","A Deepness in the Sky","First Contact / Near-Future",775,,,
2000,"Adam Roberts","Salt","Planetary Science / Physics",248,,,
2000,"Allen Steele","Chronospace","Theoretical Physics / Temporal Mechanics",352,,,
2000,"Ben Bova","Venus","Planetary Science / Atmospheric Physics",384,,,
2000,"Catherine Asaro","The Quantum Rose","Quantum Physics/Sociology",400,,,
2000,"Charles Sheffield","The Compleat McAndrew","Relativistic SF / Physics Logic",464,,,
2000,"Ian Douglas","Luna Marine","Hard Military SF / Moon",464,,,
2000,"Ian Stewart, Jack Cohen","Wheelers","Astrobiology / Planetary Science",464,,,
2000,"John Ringo","A Hymn Before Battle","Ballistics / Power Armor Engineering",416,,,
2000,"Karl Schroeder","Ventus","Nanotechnology / AI",544,,,
2000,"Kathleen Ann Goonan","Crescent City Rhapsody","Nanotechnology / Neuroscience",560,,,
2000,"Ken MacLeod","Cosmonaut Keep","Interstellar Travel / Near-Future",352,,,
2000,"Kim Stanley Robinson","The Martians","Bantam Spectra MMPB / Space Colonization",512,,,
2000,"Michael Flynn","Lodestar","Aerospace Engineering / Planetary Science",448,,,
2000,"Michael Flynn","Lodestar","Aerospace Engineering / Planetary Science",448,,,
2000,"Nancy Kress","Probability Moon","Quantum Physics / First Contact",320,,,
2000,"Poul Anderson","Genesis","AI / Evolutionary Biology",256,,,
2000,"Poul Anderson","Genesis","AI / Evolutionary Biology",256,,,
2000,"Robert J. Sawyer","Calculating God","Astrobiology / Paleontology",330,,,
2000,"Robert L. Forward","Rescued from Paradise","Exobiology / Space Industry",320,,,
2000,"Stephen Baxter","Manifold: Space","Astrophysics / First Contact",450,,,
2000,"Stephen Baxter","Manifold: Time","Del Rey MMPB / Cosmology",480,,,
2000,"Tanya Huff","Valor's Choice","Xenobiology / Atmospheric Physics",336,,,
2000,"Wil McCarthy","The Queendom of Sol","Nanotechnology / Space Industry",368,,,
2000,"Wil McCarthy","The Collapsium","Post-Scarcity Physics/Economics",336,,,
2001,"Adam Roberts","On","Atmospheric Physics / Theoretical Physics",384,,,
2001,"Alastair Reynolds","Revelation Space","Ace MMPB / Hard Space Opera",560,,,
2001,"Alexander Besher","CHI","Cybernetics / Bio-digital Systems",320,,,
2001,"Andreas Eschbach","One Trillion Dollars","Economic Hard SF / Near-Future",800,,,
2001,"Arthur C. Clarke, Stephen Baxter","The Light of Other Days","Tor MMPB / Quantum Physics",400,,,
2001,"B.V. Larson","Steel World","Ballistics / Planetary Engineering",352,,,
2001,"Ben Bova","Jupiter","Planetary Science / Fluid Dynamics",432,,,
2001,"Brian Stableford","The Cassandra Complex","Sociology/Biotechnology",304,,,
2001,"Catherine Asaro","Spherical Harmonic","Mathematical Physics/Sociology",352,,,
2001,"Charles Sheffield","Space Suits","Space Industry / Engineering",320,,,
2001,"Charles Sheffield","Borderlands of Science","Baen MMPB / Hard SF Reference",352,,,
2001,"Charles Sheffield","The Spheres of Heaven","Xenobiology / Relativistic SF",384,,,
2001,"Chris Moriarty","Spin State","Quantum Computing / Bose-Einstein Condensates",464,,,
2001,"Geoffrey A. Landis","Impact Parameter","Quantum Physics / Astrophysics",352,,,
2001,"Geoffrey A. Landis","Mars Crossing","Tor MMPB / Aerospace Engineering",464,,,
2001,"Ian Douglas","Europa Strike","Hard Military SF / Solar System",464,,,
2001,"Jack McDevitt","Deepsix","Planetary Science / Orbital Mechanics",432,,,
2001,"Joel Shepherd","Crossover","Sociopolitical Theory/Diplomatic Strategy",464,,,
2001,"John Ringo","Gust Front","Tactical Hard SF / Engineering",448,,,
2001,"Kay Kenyon","Maximum Ice","Planetary Science / Geophysics",448,,,
2001,"Ken MacLeod","Dark Light","Space Colonization",352,,,
2001,"Michael Flynn","Falling Stars","Orbital Mechanics / Geophysics",448,,,
2001,"Michael Flynn","Falling Stars","Orbital Mechanics / Geophysics",448,,,
2001,"Nancy Kress","Probability Sun","Quantum Physics / First Contact",352,,,
2001,"Neal Asher","Gridlinked","Robotic/AI Hard SF / Cyberpunk",528,,,
2001,"Paul Levinson","The Borrowed Web","Information Theory / Near-Future",320,,,
2001,"Paul McAuley","The Secret of Life","Xenobiology / Astrobiology",416,,,
2001,"Robert Charles Wilson","The Chronoliths","Hard Time Travel / Near-Future",352,,,
2001,"Robert J. Sawyer","Calculating God","Astrobiology / First Contact",336,,,
2001,"Stephen Baxter","Manifold: Origin","Evolutionary Biology / Multiverse",450,,,
2001,"Wil McCarthy","The Collapsium","Del Rey MMPB / Programmable Matter",496,,,
2002,"Adam Roberts","Stone","Nanotechnology / Quantum Physics",304,,,
2002,"Alastair Reynolds","Chasm City","Ace MMPB / Cyberpunk / Nanotechnology",694,,,
2002,"Allen Steele","Coyote","Planetary Science / Astrobiology",400,,,
2002,"Ben Bova","The Rock Rats","Space Industry / Asteroid Mining",384,,,
2002,"Ben Bova","The Precipice","Tor MMPB / Space Industry",432,,,
2002,"Catherine Asaro","The Quantum Rose","Quantum Physics / Materials Science",400,,,
2002,"Charles Sheffield","Resurgence","Relativistic SF / Megastructures",320,,,
2002,"Charles Sheffield","The Amazing Dr. Darwin","Biological Hard SF / Evolution",320,,,
2002,"Charles Sheffield","Dark as Day","Planetary Science / Robotics",416,,,
2002,"Edward M. Lerner","Probe","Orbital Mechanics / AI",304,,,
2002,"Greg Bear","Vitals","Longevity / Biological Hard SF",480,,,
2002,"Greg Egan","Schild's Ladder","Quantum Mechanics / Particle Physics",350,,,
2002,"Hōsuke Nojiri","Usurper of the Sun","Planetary Science / Physics SF",384,,,
2002,"Ian Douglas","Star Corps","Hard Military SF / Interstellar",432,,,
2002,"Ian Stewart, Jack Cohen","Heaven","Astrobiology / Physics",352,,,
2002,"Jack McDevitt","Chindi","Astrobiology / First Contact Forensics",416,,,
2002,"Jeffrey A. Carver","The Infinite Sea","Astrobiology / Oceanography",416,,,
2002,"Julie E. Czerneda","Survival","Xenobiology / First Contact",416,,,
2002,"Karl Schroeder","Permanence","Relativistic SF / Economics",480,,,
2002,"Karl Schroeder","Permanence","Cyclical History/Economics",464,,,
2002,"Ken MacLeod","Engine City","First Contact / Interstellar Travel",352,,,
2002,"Michael Crichton","Prey","Nanotechnology / Robotic Hard SF",512,,,
2002,"Michael Swanwick","Bones of the Earth","Paleontology / Temporal Mechanics",336,,,
2002,"Nancy Kress","Probability Space","Quantum Physics / Relativistic SF",368,,,
2002,"Poul Anderson","For Love and Glory","Astrophysics / Xenobiology",288,,,
2002,"Poul Anderson","For Love and Glory","Astrophysics / Xenobiology",288,,,
2002,"Richard K. Morgan","Altered Carbon","Cyberpunk / Brain Uploading",544,,,
2002,"Robert J. Sawyer","Hominids","Anthropology / Quantum Physics",440,,,
2002,"Stephen Baxter","Phase Space","Quantum Physics / Information Theory",400,,,
2002,"Stephen Baxter","Evolution","Evolutionary Biology / Deep Time",600,,,
2002,"Wil McCarthy","The Wellstone","Nanotechnology / Cryonics",368,,,
2003,"Adam Roberts","Polystom","Theoretical Physics / Biology",304,,,
2003,"Alastair Reynolds","Diamond Dogs, Turquoise Days","Ace MMPB / Mathematics / Xenobiology",240,,,
2003,"Alastair Reynolds","Redemption Ark","Ace MMPB / Relativistic SF",592,,,
2003,"Ben Bova","Saturn","Planetary Science / Megastructures",448,,,
2003,"Catherine Asaro","The Sky-Blue Wolf","Physics SF / Near-Future",384,,,
2003,"David Brin","Kiln People","Brain Uploading / Digital Consciousness",576,,,
2003,"Elizabeth Moon","Trading in Danger","Logistics / Orbital Mechanics",352,,,
2003,"Elizabeth Moon","Speed of Dark","Near-Future / Medical SF",368,,,
2003,"Greg Bear","Darwin's Children","Evolutionary Biology",512,,,
